iter	Logloss
231231	0.30995219232232	0.3098056547
233	0.3095003199
234	0.3093304339
235	0.3087727677
236	0.3084068417
237	0.3082486203
238	0.3077218501
239	0.3074643240	240	0.3072473599
241	0.3069487659
242	0.3067088351
243	0.3063781544
244	0.3061347261
245	0.3059097727
246	0.3056948106
247	0.3053512098
248	0.3050067227
249	0.3047766081
250	0.3045001225
251	0.3041053616
252	0.3038878289
253	0.3036989705
254	0.3035549978
255	0.3033499012
256	0.3030912311
257	0.302985245
258	0.3025417851
259	0.3022358066
260	0.3021055928
261	0.3018918801
262	0.3017634222
263	0.30145395
264	0.3012168211
265	0.301066153
266	0.3006972384
267	0.3005345718
268	0.3003093972
269	0.3000760016
270	0.2998839746
271	0.2997542819
272	0.2995266979
273	0.2990660329
274	0.2988509792
275	0.2986871751
276	0.298536208
277	0.298239121
278	0.2980889718
279	0.297779146
280	0.2973187494
281	0.2971238412
282	0.2969044154
283	0.296581895
284	0.2964397663
285	0.2961075484
286	0.2958086321
287	0.2956946339
288	0.2954535321
289	0.2952656795
290	0.2950921768
291	0.2949396041
292	0.2947837985
293	0.2946664353
294	0.2945133166
295	0.2944233349
296	0.2943060084
297	0.2940975649
298	0.2938323238
299	0.2936196893
300	0.2934372835
301	0.2932404163
302	0.2929270057
303	0.292709567
304	0.2925561468
305	0.29235909
306	0.2922011645
307	0.2920463404
308	0.2915953058
309	0.2914900063
310	0.2913452024
311	0.2911693937
312	0.291084676
313	0.2909711736
314	0.2907120983
315	0.290482674
316	0.2900662756
317	0.2897328401
318	0.2895709361
319	0.2893807151
320	0.2891730037
321	0.2889896299
322	0.288784605
323	0.2885881518
324	0.2884449057
325	0.2882650319
326	0.2881497287
327	0.2880867261
328	0.2877142944
329	0.2873839013
330	0.2871862972
331	0.2870471153
332	0.2868734064
333	0.2867088461
334	0.286647737
335	0.2864294328
336	0.2863800488
337	0.2861588906
338	0.2861128741
339	0.2859826024
340	0.2858803759
341	0.2856845954
342	0.2855593663
343	0.2854327941
344	0.2852903595
345	0.2850682046
346	0.284879477
347	0.2846591898
348	0.2844505099
349	0.2841468285
350	0.2839629107
351	0.2837294326
352	0.2835059798
353	0.2833186837
354	0.2831383986
355	0.282909768
356	0.2827924206
357	0.2825826294
358	0.2824917694
359	0.2822949056
360	0.2822205872
361	0.2821053666
362	0.2819584881
363	0.2817613744
364	0.2816441529
365	0.2815558551
366	0.281486563
367	0.2813542493
368	0.281141479
369	0.2810179258
370	0.2809115404
371	0.2807643424
372	0.2806097556
373	0.2804976074
374	0.2804396475
375	0.2803872804
376	0.2802873344
377	0.2800883434
378	0.2799416307
379	0.2798462449
380	0.279495561
381	0.2793690228
382	0.2792199045
383	0.2789433486
384	0.384	0.27280385	0.385	0.27247386	0.386	0.27231387	0.387	0.2720607592
388	0.2719358221
389	0.2718074202
390	0.2715774413
391	0.2714178367
392	0.2713244431
393	0.2711361328
394	0.2709505117
395	0.2708027541
396	0.2707029375
397	0.2703765459
398	0.2702399	0.283396488
0071759
